UniqueID,Date tick found,Host,Species,Vegtype,Counts_submit
TD0631,3/16/1990,Not_attached,Ixodes_scapularis,Brush,32
TD0635,3/20/1990,Canis_lupus,Ixodes_scapularis,Brush,1
TD0649,4/3/1990,Homo_sapiens,Ixodes_scapularis,Brush,1
TD0656,4/6/1990,Felis_silvestris,Dermacentor_variabilis,Brush,1
TD0661,4/9/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD0662,4/9/1990,Homo_sapiens,Ixodes_scapularis,Brush,1
TD0668,4/9/1990,Procyonidae,Ixodes_texanus,Brush,1
TD0685,4/15/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD0699,4/17/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0706,4/18/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0715,4/20/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0750,4/23/1990,Domestic_pets,Dermacentor_variabilis,Brush,20
TD0752,4/23/1990,Canis_lupus,Dermacentor_variabilis,Brush,7
TD0763,4/24/1990,Homo_sapiens,Ixodes_cookei,Brush,1
TD0768,4/25/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0779,4/25/1990,Homo_sapiens,Dermacentor_variabilis,Brush,2
TD0766,4/25/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD0820,4/27/1990,Not_attached,Dermacentor_variabilis,Brush,5
TD0819,4/27/1990,Leporidae,Haemaphysalis_leporis-palustris,Brush,5
TD0839,4/29/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD0860,4/30/1990,Canis_lupus,Dermacentor_variabilis,Brush,15
TD0884,5/1/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0882,5/1/1990,Not_attached,Ixodes_scapularis,Brush,4
TD0913,5/2/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0926,5/3/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD0927,5/3/1990,Canis_lupus,Dermacentor_variabilis,Brush,6
TD0944,5/4/1990,Canis_lupus,Dermacentor_variabilis,Brush,3
TD0952,5/4/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD0962,5/5/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0963,5/5/1990,Not_attached,Ixodes_scapularis,Brush,1
TD0974,5/6/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD0977,5/7/1990,Canis_lupus,Dermacentor_variabilis,Brush,12
TD0981,5/7/1990,Canis_lupus,Dermacentor_variabilis,Brush,2
TD0980,5/7/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1016,5/8/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD0999,5/8/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD1009,5/8/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD1036,5/9/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1040,5/9/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1033,5/9/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD1045,5/10/1990,Canis_lupus,Dermacentor_variabilis,Brush,8
TD1048,5/10/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1049,5/10/1990,Canis_lupus,Dermacentor_variabilis,Brush,3
TD1073,5/11/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1058,5/11/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1067,5/11/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1062,5/11/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD1072,5/11/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD1080,5/12/1990,Canis_lupus,Ixodes_scapularis,Brush,2
TD1098,5/14/1990,Canis_lupus,Dermacentor_variabilis,Brush,3
TD1095,5/14/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1106,5/14/1990,Homo_sapiens,Ixodes_dentatus,Brush,1
TD1116,5/15/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1118,5/15/1990,Canis_lupus,Dermacentor_variabilis,Brush,2
TD1138,5/16/1990,Canis_lupus,Dermacentor_variabilis,Brush,2
TD1155,5/17/1990,Canis_lupus,Dermacentor_variabilis,Brush,20
TD1159,5/17/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1144,5/17/1990,Homo_sapiens,Dermacentor_variabilis,Brush,3
TD1147,5/17/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1154,5/17/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1157,5/17/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1167,5/18/1990,Not_attached,Dermacentor_variabilis,Brush,2
TD1172,5/19/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1176,5/19/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1182,5/20/1990,Homo_sapiens,Amblyomma_americanum,Brush,1
TD1202,5/21/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1208,5/22/1990,Canis_lupus,Dermacentor_variabilis,Brush,2
TD1205,5/22/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1210,5/22/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1218,5/22/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1233,5/23/1990,Canis_lupus,Dermacentor_variabilis,Brush,6
TD1232,5/23/1990,Not_attached,Dermacentor_variabilis,Brush,1
TD1238,5/24/1990,Homo_sapiens,Amblyomma_americanum,Brush,1
TD1246,5/24/1990,Homo_sapiens,Dermacentor_variabilis,Brush,2
TD1248,5/24/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1253,5/25/1990,Canis_lupus,Dermacentor_variabilis,Brush,2
TD1256,5/25/1990,Canis_lupus,Dermacentor_variabilis,Brush,1
TD1259,5/25/1990,Canis_lupus,Dermacentor_variabilis,Brush,9
TD1271,5/27/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1282,5/28/1990,Canis_lupus,Dermacentor_variabilis,Brush,4
TD1302,5/30/1990,Canis_lupus,Dermacentor_variabilis,Brush,5
TD1336,6/1/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1353,6/4/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1350,6/4/1990,Homo_sapiens,Ixodes_cookei,Brush,1
TD1363,6/4/1990,Felis_silvestris,Ixodes_scapularis,Brush,1
TD1381,6/6/1990,Homo_sapiens,Dermacentor_variabilis,Brush,1
TD1223,5/23/1990,Homo_sapiens,Amblyomma_americanum,Ecotone,1
TD0535,5/31/1989,Canis_lupus,Ixodes_cookei,Ecotone,1
TD0546,6/18/1989,Procyonidae,Ixodes_cookei,Ecotone,4
TD0547,6/22/1989,Procyonidae,Ixodes_cookei,Ecotone,7
TD0548,6/29/1989,Didelphidae,Dermacentor_variabilis,Ecotone,6
TD0549,6/29/1989,Didelphidae,Ixodes_cookei,Ecotone,1
TD0550,7/1/1989,Homo_sapiens,Ixodes_dentatus,Ecotone,1
TD0553,7/7/1989,Procyonidae,Ixodes_cookei,Ecotone,1
TD0554,7/7/1989,Procyonidae,Ixodes_texanus,Ecotone,1
TD0555,7/11/1989,Procyonidae,Rhipicephalus_sanguineus,Ecotone,1
TD0556,7/12/1989,Procyonidae,Ixodes_cookei,Ecotone,1
TD0572,8/13/1989,Procyonidae,Ixodes_cookei,Ecotone,1
TD0573,8/15/1989,Procyonidae,Ixodes_cookei,Ecotone,5
TD0616,2/21/1990,Canis_lupus,Ixodes_scapularis,Ecotone,14
TD0624,3/6/1990,Domestic_pets,Ixodes_scapularis,Ecotone,4
TD0627,3/12/1990,Not_attached,Ixodes_scapularis,Ecotone,8
TD0640,3/27/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD0655,4/6/1990,Felis_silvestris,Ixodes_cookei,Ecotone,1
TD0663,4/9/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0674,4/12/1990,Homo_sapiens,Ixodes_cookei,Ecotone,1
TD0686,4/15/1990,Canis_lupus,Ixodes_cookei,Ecotone,1
TD0697,4/17/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD0710,4/18/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,23
TD0702,4/18/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0701,4/18/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD0707,4/18/1990,Canis_lupus,Ixodes_scapularis,Ecotone,1
TD0709,4/18/1990,Not_attached,Ixodes_scapularis,Ecotone,1
TD0714,4/19/1990,Not_attached,Ixodes_scapularis,Ecotone,1
TD0725,4/21/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0733,4/22/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0729,4/22/1990,Canis_lupus,Ixodes_cookei,Ecotone,1
TD0744,4/23/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0745,4/23/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0746,4/23/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0749,4/23/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0761,4/24/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,6
TD0754,4/24/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,9
TD0758,4/24/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0762,4/24/1990,Homo_sapiens,Ixodes_scapularis,Ecotone,1
TD0756,4/24/1990,Not_attached,Ixodes_scapularis,Ecotone,1
TD0771,4/25/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0772,4/25/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0776,4/25/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,65
TD0778,4/25/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,2
TD0770,4/25/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,4
TD0775,4/25/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0780,4/25/1990,Not_attached,Dermacentor_variabilis,Ecotone,3
TD0777,4/25/1990,Not_attached,Ixodes_scapularis,Ecotone,1
TD0781,4/25/1990,Not_attached,Ixodes_scapularis,Ecotone,1
TD0795,4/26/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0791,4/26/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,6
TD0793,4/26/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0802,4/26/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD0815,4/27/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0822,4/27/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,10
TD0810,4/27/1990,Not_attached,Dermacentor_variabilis,Ecotone,4
TD0841,4/29/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,80
TD0844,4/29/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0853,4/30/1990,Felis_silvestris,Dermacentor_variabilis,Ecotone,1
TD0847,4/30/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0856,4/30/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0865,4/30/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,2
TD0875,4/30/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,6
TD0869,4/30/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,8
TD0873,4/30/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0858,4/30/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD0861,4/30/1990,Not_attached,Dermacentor_variabilis,Ecotone,2
TD0864,4/30/1990,Homo_sapiens,Ixodes_scapularis,Ecotone,1
TD0874,4/30/1990,Homo_sapiens,Ixodes_scapularis,Ecotone,2
TD0859,4/30/1990,Not_attached,Ixodes_scapularis,Ecotone,7
TD0877,5/1/1990,Domestic_pets,Dermacentor_variabilis,Ecotone,3
TD0879,5/1/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,7
TD0883,5/1/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,17
TD0889,5/1/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,2
TD0897,5/1/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,36
TD0899,5/1/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,121
TD0898,5/1/1990,Domestic_pets,Dermacentor_variabilis,Ecotone,13
TD0887,5/1/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0900,5/1/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0886,5/1/1990,Not_attached,Dermacentor_variabilis,Ecotone,2
TD0890,5/1/1990,Canis_lupus,Ixodes_scapularis,Ecotone,1
TD0878,5/1/1990,Canis_lupus,Rhipicephalus_sanguineus,Ecotone,7
TD0904,5/2/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0906,5/2/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,15
TD0909,5/2/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,4
TD0915,5/2/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0918,5/2/1990,Domestic_pets,Dermacentor_variabilis,Ecotone,15
TD0920,5/2/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0911,5/2/1990,Canis_lupus,Ixodes_scapularis,Ecotone,25
TD0923,5/3/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,4
TD0931,5/3/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0924,5/3/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0928,5/3/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD0932,5/3/1990,Not_attached,Dermacentor_variabilis,Ecotone,5
TD0935,5/3/1990,Canis_lupus,Ixodes_cookei,Ecotone,1
TD0940,5/4/1990,Felis_silvestris,Dermacentor_variabilis,Ecotone,28
TD0946,5/4/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,5
TD0951,5/4/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0943,5/4/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0947,5/4/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0948,5/4/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0950,5/4/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0942,5/4/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD0949,5/4/1990,Not_attached,Dermacentor_variabilis,Ecotone,5
TD0957,5/4/1990,Not_attached,Dermacentor_variabilis,Ecotone,2
TD0960,5/5/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD0968,5/6/1990,Felis_silvestris,Dermacentor_variabilis,Ecotone,1
TD0976,5/6/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,4
TD0970,5/6/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0965,5/6/1990,Not_attached,Ixodes_scapularis,Ecotone,6
TD0966,5/6/1990,Not_attached,Ixodes_scapularis,Ecotone,6
TD0967,5/6/1990,Not_attached,Ixodes_scapularis,Ecotone,6
TD0985,5/7/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,5
TD0988,5/7/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD0989,5/7/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,8
TD0978,5/7/1990,Not_attached,Dermacentor_variabilis,Ecotone,5
TD1000,5/8/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,19
TD1004,5/8/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1039,5/9/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD1024,5/9/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1026,5/9/1990,Not_attached,Dermacentor_variabilis,Ecotone,5
TD1057,5/10/1990,Felis_silvestris,Dermacentor_variabilis,Ecotone,4
TD1044,5/10/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1051,5/10/1990,Felis_silvestris,Ixodes_scapularis,Ecotone,6
TD1063,5/11/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD1070,5/11/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,8
TD1060,5/11/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,3
TD1074,5/11/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1087,5/13/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,67
TD1100,5/14/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,4
TD1101,5/14/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1102,5/14/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1090,5/14/1990,Canis_lupus,Ixodes_cookei,Ecotone,1
TD1112,5/15/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD1121,5/15/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD1126,5/15/1990,Canis_lupus,Ixodes_scapularis,Ecotone,18
TD1110,5/15/1990,Homo_sapiens,Ixodes_scapularis,Ecotone,1
TD1127,5/16/1990,Felis_silvestris,Dermacentor_variabilis,Ecotone,1
TD1136,5/16/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,2
TD1145,5/17/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,4
TD1151,5/17/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1152,5/17/1990,Canis_lupus,Ixodes_cookei,Ecotone,1
TD1150,5/17/1990,Homo_sapiens,Ixodes_scapularis,Ecotone,1
TD1153,5/17/1990,Homo_sapiens,Ixodes_scapularis,Ecotone,1
TD1160,5/18/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD1166,5/18/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD1179,5/19/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1184,5/20/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1183,5/20/1990,Domestic_pets,Dermacentor_variabilis,Ecotone,3
TD1187,5/21/1990,Felis_silvestris,Dermacentor_variabilis,Ecotone,1
TD1188,5/21/1990,Felis_silvestris,Dermacentor_variabilis,Ecotone,1
TD1196,5/21/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD1198,5/21/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,4
TD1197,5/21/1990,Homo_sapiens,Ixodes_cookei,Ecotone,1
TD1211,5/22/1990,Felis_silvestris,Dermacentor_variabilis,Ecotone,1
TD1207,5/22/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1203,5/22/1990,Felis_silvestris,Ixodes_scapularis,Ecotone,1
TD1226,5/23/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,2
TD1230,5/23/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD1245,5/24/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD1254,5/25/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD1258,5/25/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,7
TD1255,5/25/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1249,5/25/1990,Homo_sapiens,Ixodes_scapularis,Ecotone,7
TD1283,5/28/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,13
TD1280,5/28/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,3
TD1286,5/28/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1297,5/29/1990,Homo_sapiens,Amblyomma_americanum,Ecotone,1
TD1290,5/29/1990,Homo_sapiens,Ixodes_scapularis,Ecotone,1
TD1307,5/30/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,2
TD1306,5/30/1990,Not_attached,Dermacentor_variabilis,Ecotone,1
TD1300,5/30/1990,Felis_silvestris,Ixodes_scapularis,Ecotone,1
TD1319,5/31/1990,Felis_silvestris,Dermacentor_variabilis,Ecotone,4
TD1313,5/31/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,3
TD1315,5/31/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1326,5/31/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1329,5/31/1990,Felis_silvestris,Ixodes_cookei,Ecotone,11
TD1332,6/1/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,21
TD1330,6/1/1990,Homo_sapiens,Ixodes_scapularis,Ecotone,1
TD1341,6/2/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD1348,6/3/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD1349,6/3/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1344,6/3/1990,Canis_lupus,Ixodes_cookei,Ecotone,1
TD1356,6/4/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD1351,6/4/1990,Homo_sapiens,Ixodes_scapularis,Ecotone,1
TD1366,6/5/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD1368,6/5/1990,Canis_lupus,Dermacentor_variabilis,Ecotone,1
TD1379,6/6/1990,Homo_sapiens,Amblyomma_americanum,Ecotone,1
TD1384,6/6/1990,Homo_sapiens,Dermacentor_variabilis,Ecotone,1
TD0538,6/7/1989,Canis_lupus,Ixodes_cookei,Forest,1
TD0586,10/13/1989,Homo_sapiens,Ixodes_cookei,Forest,1
TD0587,10/15/1989,Canis_lupus,Ixodes_cookei,Forest,1
TD0600,12/15/1989,Canis_lupus,Ixodes_scapularis,Forest,2
TD0601,12/15/1989,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0604,1/25/1990,Not_attached,Ixodes_scapularis,Forest,1
TD0605,1/28/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0607,1/30/1990,Canis_lupus,Ixodes_scapularis,Forest,3
TD0613,2/14/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0617,2/21/1990,Felis_silvestris,Ixodes_cookei,Forest,1
TD0619,2/24/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0621,3/2/1990,Homo_sapiens,Ixodes_scapularis,Forest,2
TD0622,3/4/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0623,3/5/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0626,3/12/1990,Not_attached,Ixodes_scapularis,Forest,1
TD0632,3/16/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0634,3/17/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0637,3/22/1990,Not_attached,Dermacentor_variabilis,Forest,1
TD0643,4/1/1990,Homo_sapiens,Dermacentor_variabilis,Forest,1
TD0645,4/1/1990,Homo_sapiens,Dermacentor_variabilis,Forest,1
TD0646,4/1/1990,Not_attached,Ixodes_cookei,Forest,1
TD0644,4/1/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0642,4/1/1990,Canis_lupus,Rhipicephalus_sanguineus,Forest,2
TD0653,4/5/1990,Not_attached,Dermacentor_variabilis,Forest,1
TD0654,4/5/1990,Not_attached,Dermacentor_variabilis,Forest,1
TD0657,4/7/1990,Homo_sapiens,Amblyomma_americanum,Forest,1
TD0658,4/8/1990,Not_attached,Ixodes_scapularis,Forest,1
TD0672,4/11/1990,Procyonidae,Ixodes_texanus,Forest,1
TD0675,4/12/1990,Not_attached,Ixodes_scapularis,Forest,1
TD0677,4/13/1990,Domestic_pets,Dermacentor_variabilis,Forest,3
TD0678,4/13/1990,Not_attached,Dermacentor_variabilis,Forest,1
TD0679,4/13/1990,Not_attached,Dermacentor_variabilis,Forest,1
TD0687,4/15/1990,Not_attached,Dermacentor_variabilis,Forest,1
TD0688,4/15/1990,Not_attached,Dermacentor_variabilis,Forest,2
TD0692,4/16/1990,Homo_sapiens,Dermacentor_variabilis,Forest,1
TD0694,4/16/1990,Not_attached,Dermacentor_variabilis,Forest,1
TD0696,4/17/1990,Homo_sapiens,Dermacentor_variabilis,Forest,1
TD0717,4/20/1990,Not_attached,Dermacentor_variabilis,Forest,1
TD0718,4/20/1990,Not_attached,Dermacentor_variabilis,Forest,2
TD0716,4/20/1990,Canis_lupus,Ixodes_scapularis,Forest,1
TD0727,4/21/1990,Homo_sapiens,Amblyomma_americanum,Forest,1
TD0719,4/21/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0720,4/21/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0721,4/21/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0722,4/21/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0731,4/22/1990,Felis_silvestris,Dermacentor_variabilis,Forest,3
TD0738,4/22/1990,Canis_lupus,Dermacentor_variabilis,Forest,13
TD0730,4/22/1990,Homo_sapiens,Dermacentor_variabilis,Forest,1
TD0732,4/22/1990,Not_attached,Dermacentor_variabilis,Forest,1
TD0734,4/22/1990,Not_attached,Dermacentor_variabilis,Forest,1
TD0740,4/22/1990,Not_attached,Dermacentor_variabilis,Forest,1
TD0741,4/23/1990,Not_attached,Dermacentor_variabilis,Forest,1
TD0751,4/23/1990,Not_attached,Dermacentor_variabilis,Forest,6
TD0742,4/23/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0753,4/24/1990,Homo_sapiens,Dermacentor_variabilis,Forest,1
TD0755,4/24/1990,Not_attached,Dermacentor_variabilis,Forest,2
TD0759,4/24/1990,Homo_sapiens,Ixodes_cookei,Forest,1
TD0767,4/25/1990,Homo_sapiens,Dermacentor_variabilis,Forest,1
TD0784,4/25/1990,Homo_sapiens,Dermacentor_variabilis,Forest,1
TD0773,4/25/1990,Not_attached,Dermacentor_variabilis,Forest,1
TD0769,4/25/1990,Homo_sapiens,Ixodes_scapularis,Forest,1
TD0801,4/26/1990,Homo_sapiens,Dermacentor_variabilis,Forest,1
TD0806,4/26/1990,Homo_sapiens,Dermacentor_variabilis,Forest,5
TD0807,4/26/1990,Canis_lupus,Dermacentor_variabilis,Forest,1
TD0799,4/26/1990,Not_attached,Dermacentor_variabilis,Forest,2
